# name,description,ingredients,cookware,difficulty,cookingTime,bilibiliUrl,category
红烧肉,软糯香甜的经典菜品,五花肉|冰糖|生抽|老抽|料酒|葱|姜|八角|桂皮|盐,炒锅|菜刀|砧板|锅铲,中等,45,https://www.bilibili.com/video/BV1Us411H7Nw,荤菜
酸辣土豆丝,经典家常菜酸辣爽口,土豆|青椒|红椒|蒜|醋|生抽|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1gb411J7cR,家常菜
青椒肉丝,下饭神器,青椒|猪肉丝|蒜|姜|生抽|老抽|料酒|淀粉|盐|糖|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,15,https://www.bilibili.com/video/BV1GM41157Hz,家常菜
清炒菠菜,超子美食的清炒菠菜,菠菜|蒜|盐|鸡精|食用油,炒锅|菜刀|砧板|锅铲,简单,8,https://www.bilibili.com/video/BV1hE411P7tV,素菜
菠菜炒鸡蛋,老东北美食的菠菜炒鸡蛋,菠菜|鸡蛋|蒜|盐|胡椒粉|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,10,https://www.bilibili.com/video/BV1w24y1C7pK,家常菜
凉拌菠菜,老东北美食的凉拌菠菜,菠菜|蒜|醋|生抽|香油|盐|糖|辣椒油,煮锅|菜刀|砧板|碗|勺子,简单,15,https://www.bilibili.com/video/BV1bu4m137KL,凉菜
凉拌豆芽,王刚的凉拌豆芽,豆芽|蒜|生抽|醋|香油|盐|糖|辣椒油,煮锅|菜刀|砧板|碗|勺子,简单,15,https://www.bilibili.com/video/BV1up4y1X7h4,凉菜
肉丝豆芽炒韭菜,老东北美食的肉丝豆芽炒韭菜,豆芽|猪肉丝|韭菜|蒜|姜|生抽|料酒|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,12,https://www.bilibili.com/video/BV1Ta4y147Ya,家常菜
豆芽炒肉丝,小厨大亮的豆芽炒肉丝,豆芽|猪肉丝|蒜|姜|生抽|老抽|料酒|淀粉|盐|糖|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,10,https://www.bilibili.com/video/BV1Ti4y1r7pW,家常菜
醋烹豆芽,老隐记的醋烹豆芽,豆芽|蒜|干辣椒|醋|生抽|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,8,https://www.bilibili.com/video/BV1E94y1V7Pv,素菜
