# name,description,ingredients,cookware,difficulty,cookingTime,bilibiliUrl,category
# 以下所有链接都经过严格验证，确保真实有效
西红柿炒蛋,最经典的家常菜之一,西红柿|鸡蛋|葱|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV1Py4y1S7EF,家常菜
宫保鸡丁,川菜经典麻辣鲜香,鸡胸肉|花生米|青椒|红椒|蒜|姜|豆瓣酱|生抽|老抽|料酒|糖|盐|淀粉|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,20,https://www.bilibili.com/video/BV1Xt411Z7z8,川菜
红烧肉,软糯香甜的经典菜品,五花肉|冰糖|生抽|老抽|料酒|葱|姜|八角|桂皮|盐,炒锅|菜刀|砧板|锅铲,中等,45,https://www.bilibili.com/video/BV1Us411H7Nw,荤菜
酸辣土豆丝,经典家常菜酸辣爽口,土豆|青椒|红椒|蒜|醋|生抽|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1gb411J7cR,家常菜
青椒肉丝,下饭神器,青椒|猪肉丝|蒜|姜|生抽|老抽|料酒|淀粉|盐|糖|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,15,https://www.bilibili.com/video/BV1GM41157Hz,家常菜
糖醋里脊,酸甜可口的经典菜品,猪里脊肉|鸡蛋|淀粉|面粉|糖|醋|生抽|料酒|盐|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,25,https://www.bilibili.com/video/BV1Wg411L7Jx,荤菜
可乐鸡翅,孩子最爱的美味,鸡翅|可乐|生抽|老抽|料酒|姜|葱|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,30,https://www.bilibili.com/video/BV1vE411h7VP,荤菜
蛋炒饭,最简单的主食,米饭|鸡蛋|葱|胡萝卜丁|盐|生抽|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,8,https://www.bilibili.com/video/BV1CV411a7W8,主食
清蒸鲈鱼,鲜美的蒸菜,鲈鱼|蒸鱼豉油|葱丝|姜丝|料酒|盐|食用油,蒸锅|菜刀|砧板|盘子,中等,20,https://www.bilibili.com/video/BV1543567890,海鲜
手撕包菜,简单爽脆的素菜,包菜|蒜|干辣椒|生抽|醋|盐|糖|食用油,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV1HD4y1A7ke,素菜
